Tree Decompositions,Times
Features_tree80-6.ml.csv,15.863
Features_tree12-1.ml.csv,4.575
Features_tree45-8.ml.csv,4.767
Features_tree25-7.ml.csv,1.298
Features_tree44-8.ml.csv,6.833
Features_tree65-6.ml.csv,2.358
Features_tree61-3.ml.csv,8.977
Features_tree13-8.ml.csv,5.223
Features_tree56-6.ml.csv,5.009
Features_tree53-7.ml.csv,5.458
Features_tree68-1.ml.csv,12.337
Features_tree58-7.ml.csv,12.189
Features_tree43-10.ml.csv,1.521
Features_tree72-5.ml.csv,4.706
Features_tree64-9.ml.csv,1.129
Features_tree16-4.ml.csv,2.731
Features_tree54-3.ml.csv,6.756
Features_tree70-8.ml.csv,4.271
Features_tree77-4.ml.csv,1.496
Features_tree17-9.ml.csv,2.576
Features_tree63-7.ml.csv,2.182
Features_tree11-2.ml.csv,8.824
Features_tree58-1.ml.csv,13.896
Features_tree14-8.ml.csv,2.991
Features_tree70-7.ml.csv,4.11
Features_tree47-7.ml.csv,7.21
Features_tree24-10.ml.csv,21.496
Features_tree62-3.ml.csv,2.856
Features_tree29-9.ml.csv,1.357
Features_tree67-7.ml.csv,15.82
Features_tree61-7.ml.csv,9.349
Features_tree23-3.ml.csv,5.8
Features_tree41-2.ml.csv,1.047
Features_tree70-6.ml.csv,3.73
Features_tree47-3.ml.csv,7.232
Features_tree40-9.ml.csv,1.442
Features_tree17-4.ml.csv,2.981
Features_tree66-2.ml.csv,0.932
Features_tree22-7.ml.csv,2.558
Features_tree25-9.ml.csv,1.331
Features_tree53-1.ml.csv,5.838
Features_tree13-2.ml.csv,5.345
Features_tree13-6.ml.csv,4.729
Features_tree14-3.ml.csv,3.04
Features_tree53-10.ml.csv,6.43
Features_tree50-8.ml.csv,7.828
Features_tree60-9.ml.csv,3.235
Features_tree54-8.ml.csv,6.959
Features_tree67-10.ml.csv,12.328
Features_tree11-4.ml.csv,10.128
Features_tree70-10.ml.csv,4.043
Features_tree65-5.ml.csv,2.003
Features_tree69-6.ml.csv,25.283
Features_tree73-9.ml.csv,1.194
Features_tree64-1.ml.csv,1.09
Features_tree18-9.ml.csv,5.102
Features_tree44-4.ml.csv,6.704
Features_tree24-3.ml.csv,22.412
Features_tree44-7.ml.csv,4.872
Features_tree60-1.ml.csv,3.268
Features_tree74-5.ml.csv,1.101
